,RIDDLES,ANSWERS
141,Late afternoons I often bathe. I'll soak in water piping hot. My essence goes through. My see through clothes. Used up am I - I've gone to pot.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKewzHZK8Hb5jKG0JS03LHfSbLf.WJ3fAO'
142,"What can't you see, hear or feel, until its too late. What shadows love, and shopkeepers hate?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeiwu/rmXOQO897J10Qq/O2CUFjG.MsPi'
143,"What can bring back the dead. Make us cry, make us laugh, make us young. Born in an instant yet lasts a life time?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKenTKFysVSDsDCbNW0IYO.KRL5.thk.HG'
144,I have a neck but no head. I have a body but no arm. I have a bottom but no leg.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSO9HMsRXDxWagM.BUbwniVZP/BOPlg.'
145,"A thousand colored folds stretch toward the sky. Atop a tender strand, rising from the land, until killed by maiden's hand. Perhaps a token of love, perhaps to say goodbye.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKet/DDvm426Z7ScfFihWeqdf.A1kgx8tu'
146,"Gold in a leather bag, swinging on a tree, money after honey in its time. Ills of a scurvy crew cured by the sea, reason in its season but no rhyme.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeYkhZMwOtUpEytLUd32CX8p.SWQbvhQi'
147,"A slow, solemn square-dance of warriors feinting. One by one they fall, warriors fainting, thirty-two on sixty-four.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeZYbwBdvPGrdfKdnss/GtNotyFH2WuR2'
148,He has married many women but has never married.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeZTbfXwptJpVc7BiMzjp9.bB92rRd2Xa'
149,"In your fire you hear me scream, creaking and whining, yet I am dead before you lay me in your hearth.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4MRKEU4IX4zORt51EiWMh6D552qSGHS'
150,"I weaken all men for hours each day. I show you strange visions while you are away. I take you by night, by day take you back. None suffer to have me, but do from my lack.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKefRkaByxIhzRNIM/ZfrUdblpxdUzoIVO'
151,"I saw a strange creature. Long, hard, and straight, thrusting into a round, dark opening. Preparing to discharge its load of lives. Puffing and squealing noises accompanied it, then a final screech as it slowed and stopped.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeYj8L49y/J7wloZ4zxLi4O9wqxpcifKq'
152,"Large as a mountain, small as a pea, endlessly swimming in a waterless sea.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeWKTcQdSzKNl.0Q1kcWDQe54j70NIc0q'
153,"I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me everyday.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKedGnwSzCDC6uV1TbrEiYnrUib7Y/opPW'
154,"When liquid splashes me, none seeps through. When I am moved a lot, liquid I spew. When I am hit, color I change. And color, I come in quite a range. What I cover is very complex, and I am very easy to flex.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKesWEp48ydbQZAYxEZi0MaDe9uDZxZOga'
155,"Give it food and it will live, give it water and it will die.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe95U6.yzSOkuNEL/I1v1x.x573ZrgCAi'
156,A nut cracker up in a tree.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKepMV4L/Pc4Piht.rsopLAQtoNPulXjWG'
157,"What happens every second, minute, month, and century. But not every hour, week, year, or decade?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeaGR53sulmiWylsVllUWJPP85srOnW9.'
158,"It has no top or bottom, but it can hold flesh, bones, and blood all at the same time.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeBC2XHEfddglZfUOfWTfaKO0wvxtKFZa'
159,"I am free for the taking. Through all of your life, though given but once at birth. I am less than nothing in weight, but will fell the strongest of you if held.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezo5uLqF.CY00/xJAl6o1YUO4P37xeTq'
160,"My first is in blood and also in battle. My second is in acorn, oak, and apple. My third and fourth are both the same. In the center of sorrow and twice in refrain. My fifth starts eternity ending here. My last is the first of last, Oh Dear.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKec6ukAHKZ801ng.xmlzZQs8CrZooXn5a'
161,"When I'm metal or wood, I help you get home. When I'm flesh and I'm blood. In the darkness I roam.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqOtJ2Z5m3pitSiqA.TuPaurPj1PWo1C'
162,"I march before armies, a thousand salute me. My fall can bring victory, but no one would shoot me. The wind is my lover, one-legged am I. Name me and see me at home in the sky.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeZlydsecTvFY/FGcUcjeE2fDh57IOfv.'
163,"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKexICpT1MYRrcnpe00WKr9v4FSNmmZtWG'
164,What five-letter word becomes shorter when you add two more letters?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSKyYu0fS6d8uPCKqlN7/Ef1m4v5z.n6'
165,"What is pronounced like one letter, written with three letters. And belongs to all animals?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe5GIzl9irj/XXvAJb/U6HSdYuw/AjKpe'
166,"What is it that given one, you'll have either two or none?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeKYkkrmZDKb1Oi/IFjI8lyufA/VxTvGG'
167,"It is greater than God and more evil than the devil. The poor have it, the rich need it, and if you eat it you'll die.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKefni9nOJSP5aI.3zpywILJKnrgMOWbq2'
168,What gets bigger the more you take away from it?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeD97CxNn8CA6SixUnMWBDxA8jiQSG/au'
169,"The more of it there is, the less you see.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3QtgCbloxW98hO.TPPS6Leo9q3tFx8W'
170,"To cross the water I'm the way, for water I'm above. I touch it not and, truth to say, I neither swim nor move.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKebc9MjDNgXqkJzW1.thZAtXOJ78iQ3hq'
171,"As beautiful as the setting sun, as delicate as the morning dew. An angel's dusting from the stars. That can turn the Earth into a frosted moon.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeB1lGISBZ1dwM6CCmrKwtfA0GtYFwdeq'
172,When set loose I fly away. Never so cursed as when I go astray.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKekY78fq4/cvsv/YYZDLfcC/.VFfO5Aba'
173,How far will a blind dog walk into a forest?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKevtDMcnU4sG.JY9jTZRJ5yXTxS/Qpn6S'
174,"My first is in wield, sever bones and marrow. My second is in blade, forged in cold steel. My third is an arbalest, and also in arrows. My fourth is in power, plunged through a shield. My fifth is in honor, and also in vows. My last will put an end to it all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe1xvyJkh3/PC0sA5rabD6IAeRbTyVlt.'
175,"Face with a tree, skin like the sea. A great beast I am. Yet vermin frightens me.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeWSlKgOB9Ks1NQAeAdj45v6AulqR6Vp2'
176,"I sleep by day, I fly by night. I have no feathers to aid my flight.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqOtJ2Z5m3pitSiqA.TuPaurPj1PWo1C'
177,"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKePuuYliZI78OXSo6uemB.lXT/ebK7t/G'
178,"What goes in the water red, and comes out black?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeKnEQL/dugKcYQ9gz0xi0WL4NvDIhqEG'
179,"Grows from the ground, bushes and grass, leaves of yellow, red and brow, unruly plants, get the axe, trim the hedge back down.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRghqkYtiJpfmV1kBZ.GZx/qhdvHJL56'
180,What can touch someone once and last them a life time?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeWRYZtHHcaORJlJCgBtIL7/BP.i4Gzn.'
181,"A dragons tooth in a mortals hand, I kill, I maim, I divide the land.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3tHPDItn6oWyETJS8SlVs4p4n1avKZe'
182,"You will find me with four legs, but no hair. People ride me for hours, but I don't go anywhere without needing to be tugged. Jerked or turned on, I always manage to be ready for work.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeMMXBOU.g4hfpjlBAAAKMUoVNXDYTsyi'
183,No sooner spoken than broken.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSECZfykDAq7hUL9C2fqTJUVEIRc3Uqq'
184,"Though desert men once called me God, today men call me mad. For I wag my tail when I am angry. And growl when I am glad.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeD5WiG9hIJCY.V3621M/IMUeV1h0cqE2'
185,"An open ended barrel, it is shaped like a hive. It is filled with the flesh, and the flesh is alive.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKec.Z6aQwD8OkzaFh1mqR60RyHBop1UMq'
186,What kind of pet always stays on the floor?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKekgGnshZzpjObFvn3nPIfbCEyDnChjKe'
187,What flies without wings? What passes all things? What mends all sorrow? What brings the morrow?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/7WcU6vFQPixA1eiUGDO5pqButdl6LC'
188,"What has a neck and no head, two arms but no hands?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeBX.Jvr1HOrY6gN78hvrEOVbcGNGwtcO'
189,"Two in a corner, one in a room, none in a house, but one in a shelter.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe22aZPQYfGifqqoZCJ96l10klQddl.EC'
190,"What does no man want, yet no man want to lose?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeQyQU7qClPu0WTIrShuqUbc3FuwUAfyO'
191,"I am the heart that does not beat. If cut, I bleed without blood. I can fly, but have no wings. I can float, but have no fins. I can sing, but have no mouth.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKes41SHKNXckW3TW4jhtMJUDk4HNWw1tS'
192,"Weight in my belly, trees on my back, nails in my ribs, feet I do lack.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeyhGsjyiQRMFSvOh2VDg1D3qxYuvKlAO'
193,What is that over the head and under the hat?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRghqkYtiJpfmV1kBZ.GZx/qhdvHJL56'
194,I bind it and it walks. I loose it and it stops.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4LZOzIeHy9M5n1cpOukJxU.Vq8al2bK'
195,"My voice is tender, my waist is slender and I'm often invited to play. Yet wherever I go, I must take my bow or else I have nothing to say.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKel6azmn82Mb/HXpcvZEsIP682/hBDgh2'
196,"Lovely and round, I shine with pale light, grown in the darkness, a lady's delight.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSRoAwELOGNFFWOszRpAqgOMQiKadYae'
197,The strangest creature you'll ever find has two eyes in front and a hundred behind.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKebutHuc1tHbnU5n8T3/G.7zK.4uBWEqK'
198,A little pool with two layers of wall around it. One white and soft and the other dark and hard. Amidst a light brown grassy lawn with an outline of a green grass.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeIVTDaOwkDeLRN7Ulga7ueXxuBvHsEUy'
199,"I open wide and tight I shut, Sharp am I and paper-cut fingers too, so do take care, I'm good and bad, so best beware.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe5XetSSLTGqJVNg0UcGZ.Tlj8GagX6aW'
200,"Only one color, but not one size. Stuck at the bottom, yet easily flies. Present in sun, but not in rain. Doing no harm, and feeling no pain.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
201,A house of wood in a hidden place. Built without nails or glue. High above the earthen ground. It holds pale gems of blue.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqhcIbrsefiVmOl5Wnoi6TlXKByVonF6'
202,"Who spends the day at the window, goes to the table for meals. And hides at night?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeo4Tsry8iDWGsDhwb.unGbef.B8i1Y0G'
203,"The beginning of eternity, the end of time and space, the beginning of every end, the end of every place.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeJfEdwtceHj9f4.xexnSdfbKOHzYQMrS'
204,"Always old, sometimes new. Never sad, sometimes blue. Never empty, sometimes full. Never pushes, always pulls.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKevCmdHUC5/H80a15wplH1LUELFPvMzly'
205,"I bubble and laugh and spit water in your face. I am no lady, and I don't wear lace.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/sAPhm/kL.rtY8rxTYwtJD0.ulqw802'
206,"My teeth are sharp, my back is straight, to cut things up it is my fate.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKewre2VZ/B3LaA4SLsD8AiTvA0XqGAnTS'
207,"I love to dance and twist and prance. I shake my tail, as away I sail. Wingless I fly into the sky.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHaOxNqqWGf/ZPnJDCv0er1RKLapXnTa'
208,I usually wear a yellow coat. I usually have a dark head. I make marks wherever I go.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeX9SuOFLYgIUID5man0DCsslPYDxXw.u'
209,"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale. But I'm always ready to tell a tale.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe91ea02oPzoRz3eZAXqr8AbAKcG/qCQe'
210,"I cost no money to use, or conscious effort to take part of. And as far as you can see, there is nothing to me. But without me, you are dead.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKejaQ5rg5vUnmqqUFpvVdrsPt2ZfgvDnK'
211,"Soldiers line up spaced with pride. Two long rows lined side by side. One sole unit can decide, if the rows will unit or divide.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKemZ9QVysTmH47qsPWs6MgRFZqE39Kk4y'
212,What measures out time. Until in time all is smashed to it?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRBhPmIAD.e2Cy.fHo2jwGRM8sEbEFsm'
213,I turn around once. What is out will not get in. I turn around again. What is in will not get out.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeEucXlN2aWNe4He5dro/BBA0Wqfkd0nq'
214,Who is he that runs without a leg. And his house on his back?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXdxuqH9gmJ2na0cnbgxP69kS1wuGTKu'
215,When the day after tomorrow is yesterday. Today will be as far from Wednesday. As today was from Wednesday. When the day before yesterday was tomorrow. What is the day after this day?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeJcYA4rtN6vmuIsUdJurhoXFYCbhTxMm'
216,"What has roots as nobody sees, is taller than trees. Up, up it goes, and yet never grows?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekdTqXbbndQs3wk395CNVnlQf6Yk1Js6'
217,Come up and let us go. Go down and here we stay.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeV8rj76ag6scgp9jQvaxdJtGHQKyRKtu'
218,"They have not flesh, nor feathers, nor scales, nor bone. Yet they have fingers and thumbs of their own.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeto5wYn1M.xP5ceWDZjGYAv41krV9tYq'
219,Long slim and slender. Dark as homemade thunder. Keen eyes and peaked nose. Scares the Devil wherever it goes.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3MvqXeAKwjiF0EhF1ajDnWA9jFdq72e'
220,"What is put on a table, cut, but never eaten?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKefq5yt6VfbvFAoWwx6D69wyGOzosjGkC'
221,"The sharp slim blade, that cuts the wind.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKet7nXPM9vR0xtX1ZMuKi1ta4Rz5IG.MS'
222,"Although my cow is dead, I still beat herÂ… What a racket she makes.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezNx/6Q3/JClycV1M2fc45taIlRZxw7y'
223,"It sat upon a willow tree, and sang softly unto me. Easing my pain and sorrow with its song. I wished to fly, but tarried long. And in my suffering, the willow was like a cool clear spring. What was it that helped me so? To spend my time in my woe.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeOkMiKoYk1tuo8Kb.5AKAx.vPC6Vj9zG'
224,"I have four wings but cannot fly. I never laugh and never cry. On the same spot always found, toiling away with little sound.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUPX3aFlvxAjJghT1oLErlPH/tyQkgN6'
225,"I am never quite what I appear to be. Straight-forward I seem, but it's only skin deep. For mystery most often lies beneath my simple speech. Sharpen your wits, open your eyes, look beyond my exteriors, read me backwards, forwards, upside down. Think and answer the question...What am I?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe83HlvsAjsf.iT9pZLmXJQG6zdlG.aL.'
226,"All about the house, with his lady he dances, yet he always works, and never romances.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSKMp/vF3OcszdzWxNvRNVaxe.2b/uXq'
227,"I walked and walked and at last I got it. I didn't want it. So I stopped and looked for it. When I found it, I threw it away.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKesod4MYOssk5CnfCCYCJtx04F/rD03aO'
228,Two in a whole and four in a pair. And six in a trio you see. And eight's a quartet but what you must get. Is the name that fits just one of me?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeFhHLMqQGisU.F3utbSrG73hU2Ys1ECG'
229,"I drive men mad for love of me. Easily beaten, never free.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeoyYPVi.iD9E4DnkWcmyn4fJ40V23xGq'
230,"I go around in circles, but always straight ahead. Never complain, no matter where I am led.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKenCYzVRoXnWp8JsLg6aSLaq7ZBMra8D6'
231,You use a knife to slice my head. And weep beside me when I am dead.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe9aYuIKWDbqsZFLoaGZOamqoGauJh4j.'
232,"Turns us on our backs, and open up our stomachs. You will be the wisest of men though at start a lummox.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKefNDyr4W5/aczHi9MClLdGEhGGQQGL5G'
233,"Thousands lay up gold within this house. But no man made it. Spears past counting guard this house, but no man wards it.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeG4PDk19Skm/8w32PGcnKW5WKJRpwbb.'
234,What goes around the world and stays in a corner?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe9ceIu7TrIODVIvBsh.sabJhv/XVDN5e'
235,What has to be broken before it can be used?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKedrvEmvl81TYdshGzVDHjNlwlen48Nw2'
236,"Creatures of power, creatures of grade, creatures of beauty, creatures of strength. As for their lives, they set everything's pace. For all things must come to live. Under their emerald embraceÂ…Either in their life or in their death.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRF5hfpCbcolagoPuXlWXyj7wcqCGCte'
237,"Double my number, I'm less than a score. Half of my number is less than four. Add one to my double when bakers are near. Days of the week are still greater, I fear.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKegtlvh3aer8PN6iltrJmY7nri.BkIp4K'
238,"In buckles or lace, they help set the pace. The farther you go, the thinner they grow.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeq7ZZo8.Lf6rXrec1VoF4MbSpgqj49Sm'
239,"When young, I am sweet in the sun. When middle-aged, I make you gay. When old, I am valued more than ever.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKejVYtNiBecG0nsIm68G030/r.j0lzsf6'
240,"Forward I'm heavy, but backwards I'm not.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUkHtrfEEam6ckZUoPdMrLxYKemdr/m2'
241,"Hard to catch, easy to hold. Can't be seen, unless it's cold.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezo5uLqF.CY00/xJAl6o1YUO4P37xeTq'
242,"I am two-faced but bear only one. I have no legs but travel widely. Men spill much blood over me. Kings leave their imprint on me. I have greatest power when given away, yet lust for me keeps me locked away.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeMS8x9ibnmKoG7FzJYa50Rb6ELquz7mi'
243,Two little holes in the side of a hill. Just as you come to the cherry-red mill.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeGpLxY0gTzkssrN31dT7XVUne/Qx9RjW'
244,"When you stop and look, you can always see me. If you try to touch, you cannot feel me. I cannot move, but as you near me, I will move away from you.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUGldFi2IJ/6ozkEV2/tUf2kN7Ad3djC'
245,"A dagger thrust at my own heart, dictates the way I'm swayed. Left I stand, and right I yield, to the twisting of the blade.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeGOULn5U2EROWAFV39th0RZD3h0NBPdO'
246,"What instrument can make any sound and be heart, but not touched or seen?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeX6M.1GqOT2hefPqhK1I8jnKyvFoSzA.'
247,What goes further the slower it goes?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeJ8LkmZ/mldnFcwpx5lUmbZbKm0IRnjO'
248,"I can run but not walk. Wherever I go, thought follows close behind.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeGpLxY0gTzkssrN31dT7XVUne/Qx9RjW'
249,"Used left or right, I get to travel over cobblestone or gravel. Used up, I vie for sweet success, used down, I cause men great duress.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0rf9V2yZF3pEuyvkyMdLv/j.GKvmHSK'
250,What goes through the door without pinching itself? What sits on the stove without burning itself? What sits on the table and is not ashamed?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKencIRt0QYcdw6II/01dWw6ggkd4jzB2a'
251,The moon is my father. The sea is my mother. I have a million brothers. I die when I reach land.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3wdPeEKYt3nwNlwpEfp6rdZr0MRq6Uu'
252,What always goes to bed with his shoes on?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUAtGLHy0AfqA/AHmVT1KZDWi5fwv7zK'
253,My thunder comes before the lightning. My lightning comes before the clouds. My rain dries all the land it touches.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeafcRkn662IB14DjVRSuqV8ubYJ492ry'
254,"My love, when I gaze on thy beautiful face. Careering along, yet always in place, the thought has often come into my mind. If I ever shall see thy glorious behind.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKevCmdHUC5/H80a15wplH1LUELFPvMzly'
255,"What starts with a 'T', ends with a 'T', and has T in it?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeIxC3JHC46yL8GFG8duedr5ispHycMgi'
256,"Today he is there to trip you up. And he will torture you tomorrow. Yet he is also there to ease the pain, when you are lost in grief and sorrow.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0bnlHVRJuMLkoeAgA0Lxwd3H7YJAJzu'
257,"I can be moved. I can be rolled. But nothing will I hold. I'm red and I'm blue, and I can be other colors too. Having no head, though similar in shape. I have no eyes - yet move all over the place.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVVsYbrbcbByxbgU6SDQ8hkaK9ji2ZaS'
258,"Inside a burning house, this thing is best to make. And best to make it quickly, before the fire's too much to take.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSyn.H8Yx6W3JsgKpk0j6zdcDPbXwH7m'
259,"What is round as a dishpan, deep as a tub, and still the oceans couldn't fill it up?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeY.FHvRyM2ykIMZ..Fe/lx7AEU2xSX0q'
260,"My first is in some but not in all. My second is into but not in tall. My third in little but no in big. My fourth in port but not in pig. My whole is made in nature's way. For clothing, rugs used every day.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/AhKI/5rf5owydVOoaite.qz8/8mb1q'
261,"Gets rid of bad ones, short and tall. Tightens when used, one size fits all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKebMHw7wxK/WCntY2EPXSPDepSKqT8e8W'
262,What gets wetter the more it dries.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeuGYonlhGrCZUSHj3iqT7G1IrfzT/TN.'
263,"A little house full of meat, no door to go in and eat.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0WYl/at/Vhq8k0qz.meAE5dn9FY3xbO'
264,A beggar's brother went out to sea and drowned. But the man who drowned had no brother. Who was the beggar to the man who drowned?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeh2rO9N13XKiu35HZzTO/Cs3PklUx3A.'
265,"I can be written, I can be spoken, I can be exposed, I can be broken.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeCoOybG5A31ZH7ybPVapMW554uN.9832'
266,"A horrid monster hides from the day, with many legs and many eyes. With silver chains it catches prey. And eats it all before it dies. Yet in every cottage does it stay. And every castle beneath the sky.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeYzT.XUxyecq7LnGzYTqSnrbMVGH1wMa'
267,"Five hundred begins it, five hundred ends it. Five in the middle is seen. First of all figures, the first of all letters. Take up their stations between. Join all together, and then you will bring before you the name of an eminent king.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeFVdkMjfNo4w4FJ95tqHHk9Yy7EV83pa'
268,"Tall in the morning, short at noon, gone at night. But I'll be back soon.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
269,"In the night a mountain, in the morning a meadow.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeLQyqKaeKC1S97gqn9KDJS57RqWoKwEa'
270,What can be heard and caught but never seen?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeL6OFVwRbsMxyIh4EEy5eSgoPxw8k9SC'
271,"I can sizzle like bacon, I am made with an egg. I have plenty of backbone, but lack a good leg. I peel layers like onions, but still remain whole. I can be long, like a flagpole, yet fit in a hole.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3MvqXeAKwjiF0EhF1ajDnWA9jFdq72e'
272,"If a man carried my burden, he would break his back. I am not rich, but leave silver in my track.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXdxuqH9gmJ2na0cnbgxP69kS1wuGTKu'
273,"High born, my touch is gentle. Purest white is my lace. Silence is my kingdom. Green is the color of my death.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeB1lGISBZ1dwM6CCmrKwtfA0GtYFwdeq'
274,"You heard me before, yet you hear me again, then I die. Until you call me again.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezRbluKPtbudrnQSMiXsrEg9PQrZTFGy'
275,What wears a coat in the winter and pants in the summer?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKes7FhIj9wWJutRIQj2vIMm78T8zO.4Au'
276,"I'm not really more than holes tied to more holes. I'm strong as good steel, though not as stiff as a pole.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKelU64tfQppl.g8RzhQCUZshVJZTUpCKK'
277,"I am the third from a sparkle bright, I thrive throughout the day and night. Deep in the path of a cows white drink. I've had thousands of millions of years to think. But one of my creatures is killing me. And so the question I ask to thee, is who am I?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe.RMdNkFadVQmqcegCLCKHXuaPwVL33G'
278,Up on high I wave away but not a word can I say.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeZlydsecTvFY/FGcUcjeE2fDh57IOfv.'
279,"I am whole but incomplete. I have no eyes, yet I see. You can see, and see right through me. My largest part is one fourth of what I once was.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeQvC2P0if10augm.QRRems3MVpg02GXe'
